total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,Recall,Drift_Percent,Payload_Bits,Run_ID
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,11
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,10
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,12
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,12
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,13
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,13
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,14
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,15
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,16
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,15
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,17
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,11
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,17
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,16
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,18
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,20
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,19
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,14
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,19
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,21
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,21
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,20
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,22
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,23
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,18
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,24
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,25
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,24
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,26
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,27
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,22
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,28
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,27
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,23
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,28
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,29
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,30
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,25
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,30
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,31
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,26
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,31
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,32
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,29
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,33
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,33
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,34
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,34
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,35
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,35
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,36
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,32
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,36
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,37
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,38
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,39
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,38
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,37
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,0.984,0.2,256,0
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,39
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.2,128,0
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,0.986,0.2,256,1
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.2,128,1
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,0.974,0.2,256,2
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.2,128,2
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,0.976,0.2,256,3
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,0.982,0.2,256,4
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.2,128,3
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.2,128,4
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,0.978,0.2,256,5
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.2,128,5
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,0.978,0.2,256,6
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,0.982,0.2,256,7
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.2,128,6
