K,Rho,Run_ID,Drift_Val,Scenario
64,4,30,0.0,Ideal (Drift=0%)
64,4,30,0.0,Ideal (Drift=0%)
64,4,30,0.0,Ideal (Drift=0%)
64,4,30,0.0,Ideal (Drift=0%)
64,4,30,0.0,Ideal (Drift=0%)
64,4,30,0.0,Ideal (Drift=0%)
64,4,30,0.0,Ideal (Drift=0%)
64,4,30,0.0,Ideal (Drift=0%)
64,4,30,0.0,Ideal (Drift=0%)
64,4,30,0.0,Ideal (Drift=0%)
64,4,30,0.0,Ideal (Drift=0%)
64,4,30,0.0,Ideal (Drift=0%)
64,4,30,0.0,Ideal (Drift=0%)
40,4,30,0.0,Ideal (Drift=0%)
64,4,31,0.0,Ideal (Drift=0%)
64,4,31,0.0,Ideal (Drift=0%)
64,4,31,0.0,Ideal (Drift=0%)
64,4,31,0.0,Ideal (Drift=0%)
64,4,31,0.0,Ideal (Drift=0%)
64,4,31,0.0,Ideal (Drift=0%)
64,4,31,0.0,Ideal (Drift=0%)
64,4,31,0.0,Ideal (Drift=0%)
64,4,31,0.0,Ideal (Drift=0%)
64,4,31,0.0,Ideal (Drift=0%)
64,4,31,0.0,Ideal (Drift=0%)
64,4,31,0.0,Ideal (Drift=0%)
64,4,31,0.0,Ideal (Drift=0%)
64,4,31,0.0,Ideal (Drift=0%)
64,4,31,0.0,Ideal (Drift=0%)
40,4,31,0.0,Ideal (Drift=0%)
64,4,32,0.0,Ideal (Drift=0%)
64,4,32,0.0,Ideal (Drift=0%)
64,4,32,0.0,Ideal (Drift=0%)
64,4,32,0.0,Ideal (Drift=0%)
64,4,32,0.0,Ideal (Drift=0%)
64,4,32,0.0,Ideal (Drift=0%)
64,4,32,0.0,Ideal (Drift=0%)
64,4,32,0.0,Ideal (Drift=0%)
64,4,32,0.0,Ideal (Drift=0%)
64,4,32,0.0,Ideal (Drift=0%)
64,4,32,0.0,Ideal (Drift=0%)
64,4,32,0.0,Ideal (Drift=0%)
64,4,32,0.0,Ideal (Drift=0%)
64,4,32,0.0,Ideal (Drift=0%)
64,4,32,0.0,Ideal (Drift=0%)
40,4,32,0.0,Ideal (Drift=0%)
64,4,33,0.0,Ideal (Drift=0%)
64,4,33,0.0,Ideal (Drift=0%)
64,4,33,0.0,Ideal (Drift=0%)
64,4,33,0.0,Ideal (Drift=0%)
64,4,33,0.0,Ideal (Drift=0%)
64,4,33,0.0,Ideal (Drift=0%)
64,4,33,0.0,Ideal (Drift=0%)
64,4,33,0.0,Ideal (Drift=0%)
64,4,33,0.0,Ideal (Drift=0%)
64,4,33,0.0,Ideal (Drift=0%)
64,4,33,0.0,Ideal (Drift=0%)
64,4,33,0.0,Ideal (Drift=0%)
64,4,33,0.0,Ideal (Drift=0%)
64,4,33,0.0,Ideal (Drift=0%)
64,4,33,0.0,Ideal (Drift=0%)
40,4,33,0.0,Ideal (Drift=0%)
64,4,34,0.0,Ideal (Drift=0%)
64,4,34,0.0,Ideal (Drift=0%)
64,4,34,0.0,Ideal (Drift=0%)
64,4,34,0.0,Ideal (Drift=0%)
64,4,34,0.0,Ideal (Drift=0%)
64,4,34,0.0,Ideal (Drift=0%)
64,4,34,0.0,Ideal (Drift=0%)
64,4,34,0.0,Ideal (Drift=0%)
64,4,34,0.0,Ideal (Drift=0%)
64,4,34,0.0,Ideal (Drift=0%)
64,4,34,0.0,Ideal (Drift=0%)
64,4,34,0.0,Ideal (Drift=0%)
64,4,34,0.0,Ideal (Drift=0%)
64,4,34,0.0,Ideal (Drift=0%)
64,4,34,0.0,Ideal (Drift=0%)
40,4,34,0.0,Ideal (Drift=0%)
64,4,35,0.0,Ideal (Drift=0%)
64,4,35,0.0,Ideal (Drift=0%)
64,4,35,0.0,Ideal (Drift=0%)
64,4,35,0.0,Ideal (Drift=0%)
64,4,35,0.0,Ideal (Drift=0%)
64,4,35,0.0,Ideal (Drift=0%)
64,4,35,0.0,Ideal (Drift=0%)
64,4,35,0.0,Ideal (Drift=0%)
64,4,35,0.0,Ideal (Drift=0%)
64,4,35,0.0,Ideal (Drift=0%)
64,4,35,0.0,Ideal (Drift=0%)
64,4,35,0.0,Ideal (Drift=0%)
64,4,35,0.0,Ideal (Drift=0%)
64,4,35,0.0,Ideal (Drift=0%)
64,4,35,0.0,Ideal (Drift=0%)
40,4,35,0.0,Ideal (Drift=0%)
64,4,37,0.0,Ideal (Drift=0%)
64,4,37,0.0,Ideal (Drift=0%)
64,4,37,0.0,Ideal (Drift=0%)
64,4,37,0.0,Ideal (Drift=0%)
64,4,37,0.0,Ideal (Drift=0%)
64,4,37,0.0,Ideal (Drift=0%)
64,4,37,0.0,Ideal (Drift=0%)
64,4,37,0.0,Ideal (Drift=0%)
64,4,37,0.0,Ideal (Drift=0%)
64,4,37,0.0,Ideal (Drift=0%)
64,4,37,0.0,Ideal (Drift=0%)
64,4,37,0.0,Ideal (Drift=0%)
64,4,37,0.0,Ideal (Drift=0%)
64,4,37,0.0,Ideal (Drift=0%)
64,4,37,0.0,Ideal (Drift=0%)
40,4,37,0.0,Ideal (Drift=0%)
64,4,36,0.0,Ideal (Drift=0%)
64,4,36,0.0,Ideal (Drift=0%)
64,4,36,0.0,Ideal (Drift=0%)
64,4,36,0.0,Ideal (Drift=0%)
64,4,36,0.0,Ideal (Drift=0%)
64,4,36,0.0,Ideal (Drift=0%)
64,4,36,0.0,Ideal (Drift=0%)
64,4,36,0.0,Ideal (Drift=0%)
64,4,36,0.0,Ideal (Drift=0%)
64,4,36,0.0,Ideal (Drift=0%)
